#1,a
1,a**2
1,1/(a**2+1)
1,sin(a)
1,E**a
1,log(a**2+1)
2,0.25*a**3+0.75*b**2-1
3,0.5*a**3+1.5*b**2+2*a*c-2
#4,E**a*sin(b)+0.3*(d-1)**3/(c**2+1)
#5,(a-b)**2+0.2*(c+de)**3-1
6,cos(a)*tan(b)-log((c-d)**2+1)/((e+f+1)**2+1)
7,a**2*b/(b**2+c**2+1)+tan(d)*log(E**(e+2)+f**2)*sin(g)
8,a+(1/2)*b**2+(1/3)*c**3+(1/4)*d**4+(1/5)*e**5+(1/6)*f**6+(1/7)*f**7+(1/8)*g**8-2
9,(a-1)/(b**2+1)+(c-3)**3/(d**4+1)+(e-5)**5/(f**6+1)+(g-7)**7/(h**8+1)+cot(i+pi/2)
10,sin(a)+0.5*b**3-log(c**2+1)+((d+e)**2+1)**(1/2)-cos(f)*E**g+(h*i**2)/(1+E**(-j))
