file_name,foreground_label,position_x,position_y
0000.png,6,96,96
0001.png,9,96,96
0002.png,9,96,96
0003.png,4,96,96
0004.png,1,96,96
0005.png,1,96,96
0006.png,2,96,96
0007.png,7,96,96
0008.png,8,96,96
0009.png,3,96,96
0010.png,4,96,96
0011.png,7,96,96
0012.png,7,96,96
0013.png,2,96,96
0014.png,9,96,96
0015.png,9,96,96
0016.png,9,96,96
0017.png,3,96,96
0018.png,2,96,96
0019.png,6,96,96
0020.png,4,96,96
0021.png,3,96,96
0022.png,6,96,96
0023.png,6,96,96
0024.png,2,96,96
0025.png,6,96,96
0026.png,3,96,96
0027.png,5,96,96
0028.png,4,96,96
0029.png,0,96,96
0030.png,0,96,96
0031.png,9,96,96
0032.png,1,96,96
0033.png,3,96,96
0034.png,4,96,96
0035.png,0,96,96
0036.png,3,96,96
0037.png,7,96,96
0038.png,3,96,96
0039.png,3,96,96
0040.png,5,96,96
0041.png,2,96,96
0042.png,2,96,96
0043.png,7,96,96
0044.png,1,96,96
0045.png,1,96,96
0046.png,1,96,96
0047.png,2,96,96
0048.png,2,96,96
0049.png,0,96,96
0050.png,9,96,96
0051.png,5,96,96
0052.png,7,96,96
0053.png,9,96,96
0054.png,2,96,96
0055.png,2,96,96
0056.png,5,96,96
0057.png,2,96,96
0058.png,4,96,96
0059.png,3,96,96
0060.png,1,96,96
0061.png,1,96,96
0062.png,8,96,96
0063.png,2,96,96
0064.png,1,96,96
0065.png,1,96,96
0066.png,4,96,96
0067.png,9,96,96
0068.png,7,96,96
0069.png,8,96,96
0070.png,5,96,96
0071.png,9,96,96
0072.png,6,96,96
0073.png,7,96,96
0074.png,3,96,96
0075.png,1,96,96
0076.png,9,96,96
0077.png,0,96,96
0078.png,3,96,96
0079.png,1,96,96
0080.png,3,96,96
0081.png,5,96,96
0082.png,4,96,96
0083.png,5,96,96
0084.png,7,96,96
0085.png,7,96,96
0086.png,4,96,96
0087.png,7,96,96
0088.png,9,96,96
0089.png,4,96,96
0090.png,2,96,96
0091.png,3,96,96
0092.png,8,96,96
0093.png,0,96,96
0094.png,1,96,96
0095.png,6,96,96
0096.png,1,96,96
0097.png,1,96,96
0098.png,4,96,96
0099.png,1,96,96
0100.png,8,96,96
0101.png,3,96,96
