file_name,foreground_label,position_x,position_y
0000.png,6,3,63
0001.png,9,121,37
0002.png,9,71,6
0003.png,4,54,168
0004.png,1,180,76
0005.png,1,100,23
0006.png,2,66,70
0007.png,7,28,78
0008.png,8,127,86
0009.png,3,148,32
0010.png,4,127,72
0011.png,7,68,44
0012.png,7,114,157
0013.png,2,167,170
0014.png,9,83,27
0015.png,9,75,118
0016.png,9,126,31
0017.png,3,12,175
0018.png,2,132,79
0019.png,6,58,157
0020.png,4,2,94
0021.png,3,179,123
0022.png,6,10,59
0023.png,6,73,96
0024.png,2,158,2
0025.png,6,106,83
0026.png,3,75,93
0027.png,5,52,118
0028.png,4,176,191
0029.png,0,88,41
0030.png,0,171,55
0031.png,9,125,113
0032.png,1,100,65
0033.png,3,165,146
0034.png,4,44,102
0035.png,0,65,179
0036.png,3,43,126
0037.png,7,26,165
0038.png,3,63,120
0039.png,3,173,84
0040.png,5,54,81
0041.png,2,123,1
0042.png,2,151,50
0043.png,7,114,101
0044.png,1,30,149
0045.png,1,96,67
0046.png,1,169,136
0047.png,2,150,162
0048.png,2,112,81
0049.png,0,7,21
0050.png,9,60,150
0051.png,5,132,140
0052.png,7,11,18
0053.png,9,39,20
0054.png,2,27,152
0055.png,2,109,157
0056.png,5,127,49
0057.png,2,74,163
0058.png,4,158,18
0059.png,3,54,119
0060.png,1,19,187
0061.png,1,126,141
0062.png,8,23,77
0063.png,2,107,58
0064.png,1,30,12
0065.png,1,164,164
0066.png,4,6,156
0067.png,9,82,189
0068.png,7,169,166
0069.png,8,121,132
0070.png,5,22,126
0071.png,9,169,30
0072.png,6,122,31
0073.png,7,168,163
0074.png,3,138,68
0075.png,1,71,78
0076.png,9,55,2
0077.png,0,158,27
0078.png,3,141,72
0079.png,1,155,151
0080.png,3,80,63
0081.png,5,28,56
0082.png,4,146,107
0083.png,5,79,47
0084.png,7,63,15
0085.png,7,128,9
0086.png,4,114,180
0087.png,7,2,78
0088.png,9,45,72
0089.png,4,181,150
0090.png,2,155,15
0091.png,3,34,155
0092.png,8,179,167
0093.png,0,48,130
0094.png,1,50,94
0095.png,6,189,180
0096.png,1,166,41
0097.png,1,92,18
0098.png,4,61,106
0099.png,1,109,170
0100.png,8,31,47
0101.png,3,137,158
0102.png,9,107,189
0103.png,6,89,43
0104.png,6,185,86
0105.png,1,86,69
0106.png,8,126,56
0107.png,5,47,172
0108.png,2,165,184
0109.png,9,61,7
0110.png,9,24,147
0111.png,8,143,10
0112.png,1,17,88
0113.png,7,126,7
0114.png,7,185,161
0115.png,0,23,13
0116.png,0,187,35
0117.png,6,61,30
0118.png,9,44,30
0119.png,1,185,42
0120.png,2,5,46
0121.png,2,26,118
0122.png,9,109,45
0123.png,2,23,158
0124.png,6,58,37
0125.png,6,178,53
0126.png,1,48,155
0127.png,9,61,188
0128.png,5,165,29
0129.png,0,74,5
0130.png,4,136,156
0131.png,7,16,87
0132.png,6,108,166
0133.png,7,127,41
0134.png,1,141,41
0135.png,8,90,12
0136.png,1,99,180
0137.png,1,39,65
0138.png,2,191,54
0139.png,8,44,63
0140.png,1,65,71
0141.png,3,0,155
0142.png,3,159,85
0143.png,6,70,20
0144.png,2,87,102
0145.png,4,142,121
0146.png,9,61,177
0147.png,9,97,186
0148.png,5,49,96
0149.png,4,24,81
0150.png,3,30,53
0151.png,6,181,6
0152.png,7,156,31
0153.png,4,179,181
0154.png,6,54,174
0155.png,8,60,105
0156.png,5,71,38
0157.png,5,66,59
0158.png,4,153,102
0159.png,3,81,96
0160.png,1,120,5
0161.png,8,146,53
0162.png,4,25,149
