file_name,foreground_label,background_label,position_x,position_y
0000.png,6,33,112,118
0001.png,9,95,153,146
0002.png,9,88,126,69
0003.png,4,62,135,96
0004.png,1,2,16,154
0005.png,1,6,113,123
0006.png,2,11,154,171
0007.png,7,101,108,33
0008.png,8,94,38,134
0009.png,3,28,153,86
0010.png,4,29,41,19
0011.png,7,18,119,178
0012.png,7,42,100,172
0013.png,2,2,60,123
0014.png,9,73,75,50
0015.png,9,83,54,157
0016.png,9,73,175,40
0017.png,3,36,52,49
0018.png,2,86,7,124
0019.png,6,52,6,42
0020.png,4,23,112,44
0021.png,3,47,13,163
0022.png,6,2,8,43
0023.png,6,96,6,180
0024.png,2,72,162,131
0025.png,6,80,163,52
0026.png,3,85,20,144
0027.png,5,96,74,125
0028.png,4,89,27,40
0029.png,0,2,102,27
0030.png,0,67,19,144
0031.png,9,18,30,177
0032.png,1,71,42,41
0033.png,3,21,137,137
0034.png,4,60,146,47
0035.png,0,79,90,23
0036.png,3,39,164,71
0037.png,7,80,164,21
0038.png,3,15,136,126
0039.png,3,77,17,13
0040.png,5,85,46,184
0041.png,2,1,98,112
0042.png,2,12,172,35
0043.png,7,71,18,130
0044.png,1,41,103,146
0045.png,1,59,129,19
0046.png,1,42,30,46
0047.png,2,81,122,123
0048.png,2,17,127,92
0049.png,0,56,18,12
0050.png,9,1,78,190
0051.png,5,51,134,73
0052.png,7,90,124,163
0053.png,9,30,155,154
0054.png,2,58,185,71
0055.png,2,10,186,123
0056.png,5,46,9,75
0057.png,2,22,74,86
0058.png,4,51,129,67
0059.png,3,71,46,43
0060.png,1,97,40,102
0061.png,1,57,40,51
0062.png,8,27,160,50
0063.png,2,83,40,44
0064.png,1,0,7,123
0065.png,1,8,48,126
0066.png,4,55,93,150
0067.png,9,43,120,25
0068.png,7,74,10,128
0069.png,8,54,27,61
0070.png,5,43,10,80
0071.png,9,38,14,26
0072.png,6,22,144,171
0073.png,7,83,60,107
0074.png,3,59,57,83
0075.png,1,7,12,16
0076.png,9,3,168,146
0077.png,0,88,89,8
0078.png,3,92,90,84
0079.png,1,61,32,84
0080.png,3,41,117,24
0081.png,5,75,142,69
0082.png,4,21,71,73
0083.png,5,96,8,190
0084.png,7,76,34,65
0085.png,7,91,154,185
0086.png,4,37,73,38
0087.png,7,44,182,172
0088.png,9,1,77,153
0089.png,4,17,149,51
0090.png,2,63,166,175
0091.png,3,70,147,142
0092.png,8,4,32,90
0093.png,0,35,107,7
0094.png,1,0,63,114
0095.png,6,10,185,0
0096.png,1,74,169,130
0097.png,1,25,136,176
0098.png,4,58,102,189
0099.png,1,3,136,124
0100.png,8,97,165,1
0101.png,3,94,158,65
0102.png,9,16,172,95
0103.png,6,95,137,50
0104.png,6,3,6,164
0105.png,1,16,158,154
0106.png,8,34,163,143
0107.png,5,20,182,185
0108.png,2,52,18,145
0109.png,9,50,17,55
0110.png,9,92,181,54
0111.png,8,16,83,131
0112.png,1,47,35,27
0113.png,7,38,73,9
0114.png,7,56,127,54
0115.png,0,49,157,108
0116.png,0,30,186,81
0117.png,6,96,152,35
0118.png,9,61,138,88
0119.png,1,23,1,132
0120.png,2,51,68,68
0121.png,2,16,20,14
0122.png,9,20,19,143
0123.png,2,90,23,66
0124.png,6,24,167,180
0125.png,6,7,182,188
0126.png,1,50,68,2
0127.png,9,59,53,181
0128.png,5,88,100,150
0129.png,0,91,190,113
0130.png,4,52,182,61
0131.png,7,29,60,47
0132.png,6,14,65,188
0133.png,7,36,48,20
0134.png,1,12,26,49
0135.png,8,66,179,85
0136.png,1,45,149,98
0137.png,1,71,77,93
0138.png,2,30,124,136
0139.png,8,88,105,147
0140.png,1,51,176,171
0141.png,3,61,122,9
0142.png,3,98,124,4
0143.png,6,100,29,84
0144.png,2,21,45,55
0145.png,4,101,188,134
0146.png,9,87,62,109
0147.png,9,31,164,164
0148.png,5,96,99,154
0149.png,4,33,26,50
0150.png,3,50,116,22
0151.png,6,16,38,24
0152.png,7,97,70,23
0153.png,4,67,26,137
0154.png,6,24,46,22
0155.png,8,97,122,61
0156.png,5,8,112,128
0157.png,5,98,153,122
0158.png,4,92,79,92
0159.png,3,78,164,19
0160.png,1,71,29,2
0161.png,8,14,152,171
0162.png,4,57,106,153
0163.png,7,19,12,180
0164.png,6,95,142,153
0165.png,0,10,55,19
0166.png,9,6,113,145
0167.png,5,76,122,163
0168.png,1,64,22,110
0169.png,3,11,90,161
0170.png,8,60,101,102
0171.png,2,52,77,76
0172.png,7,63,106,189
0173.png,5,83,0,98
0174.png,3,61,180,172
0175.png,4,94,168,83
0176.png,1,66,34,148
0177.png,5,35,162,151
0178.png,7,30,92,72
0179.png,0,70,127,115
0180.png,4,89,66,191
0181.png,7,22,14,68
0182.png,5,36,10,18
0183.png,5,54,41,110
0184.png,1,6,44,12
0185.png,0,31,31,60
0186.png,9,39,139,148
0187.png,6,68,86,102
0188.png,9,77,167,157
0189.png,0,36,83,185
0190.png,8,36,7,126
0191.png,7,22,59,7
0192.png,8,97,150,45
0193.png,8,10,97,98
0194.png,2,8,127,138
0195.png,5,28,147,125
0196.png,2,79,99,12
0197.png,3,87,161,8
0198.png,5,94,87,150
0199.png,0,17,10,73
0200.png,6,6,25,96
0201.png,1,8,70,151
0202.png,9,19,119,134
0203.png,3,19,50,101
0204.png,6,52,29,93
0205.png,9,101,135,104
0206.png,1,6,167,63
0207.png,3,41,95,95
0208.png,9,101,98,113
0209.png,6,79,53,48
0210.png,6,62,12,42
0211.png,7,19,121,77
0212.png,1,2,76,24
0213.png,0,33,134,81
0214.png,9,7,68,39
0215.png,5,98,168,60
0216.png,8,22,24,79
0217.png,5,56,162,181
0218.png,2,47,53,90
0219.png,9,48,128,93
0220.png,0,13,69,82
0221.png,8,92,16,173
0222.png,8,5,120,5
0223.png,0,49,97,101
0224.png,6,13,53,178
0225.png,9,84,21,40
